Edad,Puntuacion,Ingresos,Nivel_de_Educacion
35, 82, 50000, Licenciatura
28, 75, 45000, Maestría
42, 90, 60000, Doctorado
30, 68, 48000, Licenciatura
39, 85, 55000, Maestría
45, 72, 52000, Licenciatura
31, 79, 49000, Doctorado
29, 73, 46000, Maestría
38, 88, 58000, Licenciatura
33, 81, 53000, Maestría
41, 87, 57000, Doctorado
36, 77, 51000, Licenciatura
34, 84, 54000, Maestría
37, 76, 52000, Doctorado
32, 80, 56000, Licenciatura
40, 86, 59000, Maestría
27, 74, 47000, Doctorado
43, 89, 61000, Licenciatura
44, 91, 62000, Licenciatura
26, 71, 44000, Doctorado
